"ID","MonthlyIncome"
871,5984.17065115755
872,2184.1848409395
873,14495.7245209352
874,2184.1848409395
875,2324.42826391512
876,6825.6311890113
877,6054.29236264536
878,1973.81970647606
879,2534.79339837856
880,14846.3330783743
881,11116.468979644
882,2324.42826391512
883,5914.04893966974
884,5843.92722818193
885,6194.53578562099
886,5773.80551669411
887,6264.6574971088
888,5984.17065115755
889,6194.53578562099
890,2254.30655242731
891,6124.41407413317
892,9784.1564613756
893,9784.1564613756
894,5914.04893966974
895,11186.5906911318
896,9994.52159583904
897,9924.39988435123
898,14285.3593864718
899,6194.53578562099
900,2254.30655242731
901,2254.30655242731
902,6264.6574971088
903,6755.50947752348
904,2394.54997540294
905,14635.9679439108
906,5773.80551669411
907,10625.6169992293
908,6054.29236264536
909,1973.81970647606
910,1903.69799498825
911,18225.5886196654
912,2324.42826391512
913,2324.42826391512
914,10134.7650188147
915,6054.29236264536
916,5843.92722818193
917,2043.94141796387
918,5843.92722818193
919,1903.69799498825
920,2675.03682135418
921,2114.06312945169
922,1903.69799498825
923,6124.41407413317
924,6194.53578562099
925,15337.185058789
926,2534.79339837856
927,6194.53578562099
928,10555.4952877415
929,1903.69799498825
930,2394.54997540294
931,6545.14434306005
932,9854.27817286341
933,9854.27817286341
934,2043.94141796387
935,1903.69799498825
936,2114.06312945169
937,10345.1301532781
938,10415.2518647659
939,6755.50947752348
940,1903.69799498825
941,2885.40195581762
942,9924.39988435123
943,11116.468979644
944,5773.80551669411
945,1833.57628350044
946,5914.04893966974
947,1903.69799498825
948,2043.94141796387
949,2394.54997540294
950,6054.29236264536
951,2534.79339837856
952,6054.29236264536
953,6054.29236264536
954,2254.30655242731
955,6124.41407413317
956,9784.1564613756
957,11747.5643830343
958,2534.79339837856
959,10625.6169992293
960,19277.4142919826
961,2254.30655242731
962,6124.41407413317
963,6404.90092008442
964,6334.77920859661
965,1973.81970647606
966,18506.0754656167
967,2184.1848409395
968,9854.27817286341
969,15056.6982128377
970,2184.1848409395
971,5984.17065115755
972,6194.53578562099
973,2184.1848409395
974,1903.69799498825
975,5843.92722818193
976,2114.06312945169
977,6825.6311890113
978,2254.30655242731
979,10345.1301532781
980,18085.3451966898
981,2254.30655242731
982,10204.8867303025
983,2254.30655242731
984,2184.1848409395
985,6054.29236264536
