"Id","SalePrice"
1461,119985.541746956
1462,173404.998962103
1463,204877.538310225
1464,192765.553267745
1465,145487.356437878
1466,198350.87061225
1467,142660.44466691
1468,173843.090754477
1469,164722.901816807
1470,110604.102065829
1471,153751.42204781
1472,105593.293436147
1473,116981.940656238
1474,157926.821481995
1475,90679.571230033
1476,278972.105495418
1477,193347.102957989
1478,206724.193535068
1479,226523.551936816
1480,342318.380231526
1481,271793.980730212
1482,160439.774678977
1483,183178.233004746
1484,126447.217833284
1485,175925.985597092
1486,203338.326155176
1487,305430.239874407
1488,189370.951847225
1489,149036.695270946
1490,179142.006124729
1491,203470.282653902
1492,128120.885259406
1493,194090.816325264
1494,281294.567734774
1495,262942.36369596
1496,167632.857077666
1497,185236.490309626
1498,132441.984453063
1499,130804.479263301
1500,134709.158310189
1501,165709.043317061
1502,117444.786714922
1503,179607.514437409
1504,212888.01297539
1505,175790.561162915
1506,218336.306223919
1507,291390.400988622
1508,245513.983552232
1509,196290.079457374
1510,151494.733725018
1511,149732.196232006
1512,181842.764648802
1513,212830.704564654
1514,214224.380416196
1515,285098.746860256
1516,205574.312021153
1517,144558.453295803
1518,188590.037053614
1519,174969.75933812
1520,138058.886830259
1521,151420.132364418
1522,190294.215244803
1523,159910.979572337
1524,136567.431714123
1525,126454.585746321
1526,134759.542576821
1527,120550.744273902
1528,146878.580218778
1529,140516.948635183
1530,176305.885327302
1531,206160.380486564
1532,106906.97336654
1533,142355.920417452
1534,146966.469472823
1535,200481.849405708
1536,149583.37882555
1537,108246.073113899
1538,187721.478215591
1539,262398.482500465
1540,261206.740602878
1541,179651.780164333
1542,183510.50036772
1543,148892.805756218
1544,89616.5514299274
1545,131862.980262554
1546,138804.631901467
1547,167558.24404164
1548,162666.559410227
1549,122470.050883396
1550,176267.851084965
1551,125214.176049531
1552,226997.712536456
1553,195124.002586385
1554,145532.696406741
1555,213363.936769849
1556,153145.515132798
1557,169580.981387021
1558,124993.333846967
1559,214523.12447164
1560,191418.011391095
1561,219435.301427883
1562,110224.498004966
1563,107265.618059845
1564,161477.760002547
1565,178025.624567492
1566,195418.392917066
1567,99034.0248920417
1568,255243.928776516
1569,214457.420659003
1570,138943.033851829
1571,137523.15578494
1572,144803.905672358
1573,200673.122693936
1574,162557.94432283
1575,182801.237329739
1576,220056.749824738
1577,144943.615373181
1578,185908.649910728
1579,126207.82559362
1580,200746.03093796
1581,142915.121529043
1582,107708.158626201
1583,234333.832466307
1584,244874.868540507
1585,97240.1826022485
1586,81267.7775943061
1587,123613.720505567
1588,148673.590153919
